country," 50,000 "," 49,000 "," 48,000 "," 47,000 "," 46,000 "," 45,000 "," 44,000 "," 43,000 "," 42,000 "," 41,000 "," 40,000 "," 39,000 "," 38,000 "," 37,000 "," 36,000 "," 35,000 "," 34,000 "," 33,000 "," 32,000 "," 31,000 "," 30,000 "," 29,000 "," 28,000 "," 27,000 "," 26,000 "," 25,000 "," 24,000 "," 23,000 "," 22,000 "," 21,000 "," 20,000 "," 19,000 "," 18,000 "," 17,000 "," 16,000 "," 15,000 "," 14,000 "," 13,000 "," 12,000 "," 11,000 "," 10,000 ",9000,8000,7000,6000,5000,4000,3000,2000,1000
Africa,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Europe,0,0,0,0,0,0.00782609,0.01565217,0.02347826,0.03130435,0.03913043,0.04695652,0.05478261,0.0626087,0.07043478,0.07826087,0.08608696,0.09391304,0.10173913,0.10956522,0.1173913,0.12521739,0.13304348,0.14086957,0.14869565,0.15652174,0.16434783,0.17217391,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.216,0.252,0.288,0.324,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0.05555556,0.11111111,0.16666667,0.22222222,0.27777778,0.33333333,0.38888889,0.44444444,0.5,0.55555556,0.61111111,0.66666667,0.72222222,0.77777778,0.83333333,0.88888889,0.94444445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1,1,1,1,1,1,1
North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,1,1,1,1,1,1,1,1,1,1,1
